AUN,School District,County,Records,Compensation,Net Profits,Dividends & Interest,Miscellaneous Income,Out-of-State Tax Records,Out-of-State Tax Credit,Out-of-State Income (calculated),"Total
Personal
Income","Adjusted
Personal
Income
June 2025"
112011103,Bermudian Springs SD,Adams,"7,323","$391,983,789","$50,657,823","$15,306,976","$18,633,986",79,"$135,500","$4,413,681","$476,582,574","$472,168,893"
112011603,Conewago Valley SD,Adams,"15,260","$791,931,758","$90,851,492","$35,663,269","$45,706,190",146,"$614,807","$20,026,287","$964,152,709","$944,126,422"
112013054,Fairfield Area SD,Adams,"4,854","$273,944,414","$25,889,555","$9,259,777","$9,548,409",91,"$271,657","$8,848,762","$318,642,155","$309,793,393"
112013753,Gettysburg Area SD,Adams,"13,386","$680,941,922","$84,172,615","$58,783,474","$50,032,430",198,"$368,301","$11,996,775","$873,930,441","$861,933,666"
112015203,Littlestown Area SD,Adams,"7,522","$417,206,681","$46,023,291","$17,751,243","$21,038,452",119,"$222,704","$7,254,202","$502,019,667","$494,765,465"
112018523,Upper Adams SD  ,Adams,"5,877","$283,771,234","$24,639,417","$10,803,954","$15,869,959",58,"$75,214","$2,449,967","$335,084,564","$332,634,597"
103020603,Allegheny Valley SD,Allegheny,"6,016","$325,970,728","$25,392,138","$24,649,774","$27,806,540",60,"$574,800","$18,723,127","$403,819,180","$385,096,053"
103020753,Avonworth SD,Allegheny,"6,309","$624,018,709","$88,726,660","$41,872,163","$51,692,931",130,"$431,357","$14,050,717","$806,310,463","$792,259,746"
103021102,Baldwin-Whitehall SD,Allegheny,"18,372","$1,066,903,459","$63,633,238","$47,055,310","$36,499,739",118,"$111,279","$3,624,723","$1,214,091,746","$1,210,467,023"
103021252,Bethel Park SD  ,Allegheny,"17,138","$1,150,109,508","$95,781,110","$67,446,308","$50,797,197",149,"$295,621","$9,629,349","$1,364,134,123","$1,354,504,774"
103021453,Brentwood Borough SD,Allegheny,"5,446","$281,506,292","$13,996,326","$5,634,598","$4,471,890",33,"$50,253","$1,636,906","$305,609,106","$303,972,200"
103021603,Carlynton SD,Allegheny,"6,936","$409,322,103","$38,723,123","$15,693,218","$19,182,615",64,"$174,447","$5,682,313","$482,921,059","$477,238,746"
103021752,Chartiers Valley SD,Allegheny,"16,170","$1,111,649,826","$123,370,589","$96,461,629","$89,003,121",189,"$697,644","$22,724,560","$1,420,485,165","$1,397,760,605"
103021903,Clairton City SD,Allegheny,"2,555","$89,109,816","$4,405,130","$2,712,432","$2,020,764",7,"$7,340","$239,088","$98,248,142","$98,009,054"
103022103,Cornell SD,Allegheny,"3,580","$175,204,069","$9,970,021","$3,827,634","$5,438,024",21,"$20,068","$653,681","$194,439,748","$193,786,067"
103022253,Deer Lakes SD,Allegheny,"7,558","$429,371,462","$29,243,468","$24,775,972","$23,291,173",28,"$52,899","$1,723,094","$506,682,075","$504,958,981"
103022503,Duquesne City SD,Allegheny,"1,906","$57,509,310","$2,750,220","$1,591,578","$1,115,249",5,"$4,150","$135,179","$62,966,357","$62,831,178"
103022803,East Allegheny SD,Allegheny,"6,335","$271,104,883","$13,663,085","$6,412,069","$6,954,583",29,"$23,967","$780,684","$298,134,620","$297,353,936"
103023153,Elizabeth Forward SD,Allegheny,"8,585","$500,873,228","$39,768,126","$20,852,915","$23,477,210",30,"$42,166","$1,373,485","$584,971,479","$583,597,994"
103023912,Fox Chapel Area SD,Allegheny,"14,244","$1,729,349,391","$469,226,759","$253,385,404","$430,969,412",440,"$2,348,920","$76,512,052","$2,882,930,966","$2,806,418,914"
103024102,Gateway SD,Allegheny,"14,898","$819,845,372","$62,334,900","$45,262,849","$29,057,732",103,"$143,581","$4,676,906","$956,500,853","$951,823,947"
103024603,Hampton Township SD,Allegheny,"9,292","$880,668,496","$151,372,306","$78,011,763","$76,293,589",180,"$690,751","$22,500,033","$1,186,346,154","$1,163,846,121"
