SCHOOL NAME,LINK TO MENU,API LINK,API MESSAGES,MENU TYPE,,
Littlestown Area High - Littlestown Area School District - PA,https://lasd.nutrislice.com/menu/littlestown-area-high/lunch/2026-03-18,https://lasd.api.nutrislice.com/menu/api/weeks/school/littlestown-area-high/menu-type/lunch/2026/03/01/,https://lasd.api.nutrislice.com/menu/api/messages/school/12106/menu-type/3945/,3945,"12106,",
Upper Adams Intermediate School - Upper Adams School District - PA,https://upperadams.nutrislice.com/menu/hsms-schedule-a/lunch,https://upperadams.api.nutrislice.com/menu/api/weeks/school/hsms-schedule-a/menu-type/lunch/2026/03/01/,https://upperadams.api.nutrislice.com/menu/api/messages/school/12748/menu-type/1728/,1728,"12748,",
Upper Adams MIddle School - Upper Adams School District - PA,https://upperadams.nutrislice.com/menu/upper-adams-middle-school/lunch,https://upperadams.api.nutrislice.com/menu/api/weeks/school/upper-adams-middle-school/menu-type/lunch/2026/03/01/,https://upperadams.api.nutrislice.com/menu/api/messages/school/12748/menu-type/1728/,1728,"12748,",
Cornell High School - Cornell School District - PA,https://cornellsd.nutrislice.com/menu/cornell-high-school/lunch/2026-03-18,https://cornellsd.api.nutrislice.com/menu/api/weeks/school/cornell-high-school/menu-type/lunch/2026/03/01/,https://cornellsd.api.nutrislice.com/menu/api/messages/school/4180/menu-type/1212/,"1212,","4180,",
Elizabeth Forward High School - Elizabeth Forward School District - PA,https://efsd.nutrislice.com/menu/elizabeth-forward-high-school/lunch/2026-03-18,https://efsd.api.nutrislice.com/menu/api/weeks/school/elizabeth-forward-high-school/menu-type/lunch/2026/03/01/,https://efsd.api.nutrislice.com/menu/api/messages/school/1221/menu-type/1244/,"1244,","1221,",
Elizabeth Forward Middle School - Elizabeth Forward School District - PA,https://efsd.nutrislice.com/menu/elizabeth-forward-middle-school/lunch/2026-03-18,https://efsd.api.nutrislice.com/menu/api/weeks/school/elizabeth-forward-middle-school/menu-type/lunch/2026/03/01/,https://efsd.api.nutrislice.com/menu/api/messages/school/1221/menu-type/1244/,"1244,","1221,",
Montour High School - Montour School District - PA,https://montourschools.nutrislice.com/menu/montour-high-school/lunch/2026-03-18,https://montourschools.api.nutrislice.com/menu/api/weeks/school/montour-high-school/menu-type/lunch/2026/03/01/,https://montourschools.api.nutrislice.com/menu/api/messages/school/1012/menu-type/1097/,"1097,","1012,",
Montoursville Area High - Montoursville Area School District - PA,https://montoursville.nutrislice.com/menu/montoursville-area-high/lunch/2026-03-18,https://montoursville.api.nutrislice.com/menu/api/weeks/school/montoursville-area-high/menu-type/lunch/2026/03/01/,https://montoursville.api.nutrislice.com/menu/api/messages/school/4057/menu-type/4056/,"4056,","4057,",
Northgate Middle/High School - Northgate School District - PA,https://northgatesd.nutrislice.com/menu/northgate-middlehigh-school/lunch/2026-03-18,https://northgatesd.api.nutrislice.com/menu/api/weeks/school/northgate-middlehigh-school/menu-type/lunch/2026/03/01/,https://northgatesd.api.nutrislice.com/menu/api/messages/school/58466/menu-type/28299/,"28299,","58466,",
Pine-Richland High School - Pine-Richland School District - PA,https://pinerichland.nutrislice.com/menu/pine-richland-high-school/lunch/2026-03-18,https://pinerichland.api.nutrislice.com/menu/api/weeks/school/pine-richland-high-school/menu-type/lunch/2026/03/01/,https://pinerichland.api.nutrislice.com/menu/api/messages/school/28250/menu-type/21027/,"21027,","28250,",
